시설명,공원명,위치,면수,시설면적,총 면적,관리기관,관리자연락처,데이터기준일자
족구장,봉담-과천 고속도로 하부 체육시설,봉담읍 수영리 ,2,1156,2425,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,한울2호 어린이공원 ,봉담읍 수영리 ,1,1107,1107,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,비봉체육공원,새솔동,1,12153,84854,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
야구장,비봉체육공원,새솔동,1,15000,84854,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
야구장,비봉체육공원,새솔동,1,12510,84854,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,비봉체육공원,새솔동,1,8739,84854,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
궁도장,비봉체육공원,새솔동,4,17712,84854,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내체육관,비봉체육공원,새솔동,1,2153,84854,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
테니스장,비봉체육공원,새솔동,2,755,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,비봉체육공원,새솔동,1,234,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
"다목적구장(농구, 족구)",비봉체육공원,새솔동,1,612,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
인라인스케이트장,비봉체육공원,새솔동,1,1290,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내야구연습장,비봉체육공원,새솔동,1,12510,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
야구장관리사무소,비봉체육공원,새솔동,1,986,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,봉선체육공원,새솔동,1,4104,7006,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
육상트랙,봉선체육공원,새솔동,1,1782,7006,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,봉선체육공원,새솔동,1,576,7006,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장(멀티코트),봉선체육공원,새솔동,1,544,7006,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,수노을중앙공원,새솔동,1,684,1104,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,수노을중앙공원,새솔동,1,420,1104,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
궁도장,송산그린시티 하수처리시설 상부 체육시설,송산면 고정리 ,4,7036,9172,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내체육관,송산그린시티 하수처리시설 상부 체육시설,송산면 고정리 ,1,2136,9172,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,남양 푸른건강 뜰 체육공원,남양읍 남양리 ,1,9356,14912,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
육상트랙,남양 푸른건강 뜰 체육공원,남양읍 남양리 ,1,2367,14912,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,남양 푸른건강 뜰 체육공원,남양읍 남양리 ,1,608,14912,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,남양 푸른건강 뜰 체육공원,남양읍 남양리 ,1,1040,14912,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,남양 푸른건강 뜰 체육공원,남양읍 남양리 ,1,500,14912,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,남양 푸른건강 뜰 체육공원,남양읍 남양리 ,1,1040,14912,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,조암1호공원,우정읍 조암리 ,1,160,160,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
축구장,봉담2생태체육공원,봉담읍 상리,1,7280,12168,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
기타체육,봉담2생태체육공원,봉담읍 상리,1,2000,12168,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,봉담2생태체육공원,봉담읍 상리,1,660,12168,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
배드민턴장,봉담2생태체육공원,봉담읍 상리,1,660,12168,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
게이트볼장,봉담2생태체육공원,봉담읍 상리,1,608,12168,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
풋살구장,봉담2생태체육공원,봉담읍 상리,1,960,12168,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
다목적구장,봉담2들녘오름공원,봉담읍 수영리 ,1,345,813,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
X-게임장,봉담2들녘오름공원,봉담읍 수영리 ,1,468,813,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,남양 택지 저류지,남양읍 남양리 ,1,644,991,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
배드민턴장,남양 택지 저류지,남양읍 남양리 ,2,347,991,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내체육관,봉담다목적체육관,봉담읍 상리,1,1121,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내체육관,송산다목적체육관,송산면 삼존리 ,1,1088,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내체육관,서신다목적체육관,서신면 매화리 ,1,991,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
족구장,남양1호 근린 공원,남양읍 남양리 ,2,992,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내체육관,향남다목적체육관,향남읍 행정리 ,1,1085,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
실내체육관,매송다목적체육관,매송면 어천리 ,1,1105,,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,신남1호 근린공원,남양읍 신남리 ,1,612,612,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
농구장,한울3호 어린이공원,봉담읍 수영리 ,1,227,227,화성도시공사 체육시설2부,031-8059-3274,2024-12-31
